id;kecamatan_id;kode;nama;;;;
109;21;3207302003;Kepel;3207160003;Kepel;;
110;3;3207032005;Kertabumi;3207150005;Kertabumi;;
111;3;3207032010;Kertaharja;3207150010;Kertaharja;;
112;19;3207192003;Kertahayu;3207120006;Kertahayu;;
113;10;3207102015;Kertajaya;3207091002;Kertajaya;;
114;17;3207172007;Kertajaya;3207110005;Kertajaya;;
115;8;3207082002;Kertamandala;3207290002;Kertamandala;;
116;7;3207072011;Kertaraharja;3207300004;Kertaraharja;;
117;1;3207011002;Kertasari;3207210011;Kertasari;;
118;10;3207102006;Kertayasa;3207270001;Kertayasa;;
119;15;3207152002;Kiarapayung;3207180005;Kiarapayung;;
120;2;3207022013;Kujang;3207220004;Kujang;;
121;26;3207352008;Kutawaringin;3207111001;Kutawaringin;;
122;27;3207372004;Langkapsari;3207100010;Langkapsari;;
123;9;3207092019;Linggapura;3207280011;Linggapura;;
124;1;3207011006;Linggasari;3207210007;Linggasari;;
125;25;3207342003;Lumbung;3207281004;Lumbung;;
126;25;3207342004;Lumbungsari;3207281006;Lumbungsari;;
127;1;3207011003;Maleber;3207210012;Maleber;;
128;8;3207082013;Mandalare;3207290001;Mandalare;;
129;4;3207042004;Mangkubumi;3207240004;Mangkubumi;;
130;8;3207082005;Maparah;3207091003;Mangunjaya;;
131;14;3207142003;Margaharja;3207200003;Margaharja;;
132;14;3207142004;Margajaya;3207200004;Margajaya;;
133;19;3207192008;Margajaya;3207120002;Margajaya;;
134;2;3207022002;Margaluyu;3207220002;Margaluyu;;
135;9;3207092006;Margamulya;3207280007;Margamulya;;
136;7;3207072001;Medanglayang;3207300001;Medanglayang;;
137;10;3207102017;Mekarbuana;;;;
138;4;3207042008;Mekarjadi;3207240001;Mekarjadi;;
139;23;3207322003;Mekarjaya;3207211002;Mekarjaya;;
140;21;3207302008;Mekarmukti;3207160004;Mekarmukti;;
141;19;3207192014;Mekarmulya;;;;
142;11;3207112008;Mekarsari;3207250002;Mekarsari;;
143;16;3207162002;Mekarsari;3207170004;Mekarsari;;
144;24;3207332005;Mekarwangi;3207291005;Mekarwangi;;
145;11;3207112007;Muktisari;3207250001;Muktisari;;
146;12;3207122005;Mulyasari;3207260006;Mulyasari;;
147;10;3207102004;Nagarajati;3207270008;Nagarajati;;
148;10;3207102005;Nagarajaya;3207270007;Nagarajaya;;
149;10;3207102003;Nagarapageuh;3207270006;Nagarapageuh;;
150;10;3207102016;Nagarawangi;;;;
151;2;3207022014;Nasol;3207220006;Nasol;;
152;10;3207102018;Natanegara;;;;
153;19;3207192006;Neglasari;3207120003;Neglasari;;
154;6;3207062009;Padamulya;3207230010;Padamulya;;
155;26;3207352006;Padaringan;3207111009;Padaringan;;
